rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,fuel_level
1479513000081369324,,3617,,1479513000,81244136,'',99.02205657958984
1479513000181838702,,3618,,1479513000,181741724,'',99.02205657958984
1479513000282383707,,3619,,1479513000,281513038,'',99.02205657958984
1479513000381848433,,3620,,1479513000,381737773,'',99.02205657958984
1479513000481441982,,3621,,1479513000,481336330,'',99.02205657958984
1479513000581432326,,3622,,1479513000,581343690,'',99.02205657958984
1479513000682020144,,3623,,1479513000,681909394,'',99.02205657958984
1479513000781594560,,3624,,1479513000,781497509,'',99.02205657958984
1479513000881412367,,3625,,1479513000,881315982,'',99.02205657958984
1479513000981413328,,3626,,1479513000,981327226,'',99.02205657958984
