rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,- wheel_fl,- wheel_fr,- wheel_rl,- wheel_rr,- steer_fl,- steer_fr,position,velocity,effort
1479513000010836180,,54228,,1479513000,10741576,'',,"[0.23987440029988694, 1.1731436965139275, 2.8456406649610426, 0.8797513985526113, 0.0038220045640395195, 0.0038138197439457795]","[27.75, 27.850000381469727, 27.649999618530273, 27.790000915527344, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1479513000015860556,,54229,,1479513000,15554312,'',,"[0.37342782429988697, 1.3071783959498406, 2.9787128135251297, 1.0134973363988027, 0.003603383243216202, 0.003596107102650337]","[27.75, 27.850000381469727, 27.649999618530273, 27.790000915527344, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1479513000018511871,,54230,,1479513000,18418141,'',,"[0.4528704401044085, 1.3868501178558694, 3.0580122400645795, 1.092854035366889, 0.003603383243216202, 0.003596107102650337]","[27.739999771118164, 27.81999969482422, 27.690000534057617, 27.709999084472656, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1479513000030644201,,54231,,1479513000,30568514,'',,"[0.7901647973654082, 1.725238010540869, 3.39397004887958, 1.429419376736888, 0.003603383243216202, 0.003596107102650337]","[27.760000228881836, 27.850000381469727, 27.649999618530273, 27.700000762939453, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1479513000035667427,,54232,,1479513000,35602530,'',,"[0.9299090826776031, 1.8654353580611935, 3.5331605893592553, 1.5688616237775372, 0.0034940827522149808, 0.0034872409068090185]","[27.760000228881836, 27.850000381469727, 27.649999618530273, 27.700000762939453, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1479513000038485794,,54233,,1479513000,38423196,'',,"[1.008182564177603, 1.9437934614779913, 3.611010972035254, 1.6471915198887357, 0.0034940827522149808, 0.0034872409068090185]","[27.75, 27.780000686645508, 27.600000381469727, 27.770000457763672, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1479513000050802604,,54234,,1479513000,50738477,'',,"[1.349931611927603, 2.2857888204854797, 3.951651642616091, 1.9888174120099915, 0.0034940827522149808, 0.0034872409068090185]","[27.75, 27.770000457763672, 27.65999984741211, 27.739999771118164, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1479513000055741038,,54235,,1479513000,55670943,'',,"[1.4868075434276031, 2.4227634035633834, 4.088083651423457, 2.1256440177210396, 0.0031662212496753953, 0.0031606021139687682]","[27.75, 27.770000457763672, 27.65999984741211, 27.739999771118164, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1479513000058487474,,54236,,1479513000,58413370,'',,"[1.562909892677603, 2.4988657528133835, 4.163692362976534, 2.2016092477133453, 0.0031662212496753953, 0.0031606021139687682]","[27.75, 27.75, 27.56999969482422, 27.700000762939453, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1479513000070902862,,54237,,1479513000,70836586,'',,"[1.9075299016741547, 2.843485761809935, 4.506945810630556, 2.5459807867029998, 0.0031662212496753953, 0.0031606021139687682]","[27.739999771118164, 27.739999771118164, 27.6299991607666, 27.719999313354492, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
