rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,state,gear,cmd,gear,override,fault_bus
1479513000000463160,,7222,,1479513000,373124,'',,4,,0,True,False
1479513000050574080,,7223,,1479513000,50466751,'',,4,,0,True,False
1479513000100670967,,7224,,1479513000,100591174,'',,4,,0,True,False
1479513000150722116,,7225,,1479513000,150643843,'',,4,,0,True,False
1479513000200808135,,7226,,1479513000,200729016,'',,4,,0,True,False
1479513000251013876,,7227,,1479513000,250939589,'',,4,,0,True,False
1479513000300988640,,7228,,1479513000,300902598,'',,4,,0,True,False
1479513000351037012,,7229,,1479513000,350963699,'',,4,,0,True,False
1479513000401151157,,7230,,1479513000,401062545,'',,4,,0,True,False
1479513000451267030,,7231,,1479513000,451147578,'',,4,,0,True,False
1479513000501322525,,7232,,1479513000,501236367,'',,4,,0,True,False
1479513000551390819,,7233,,1479513000,551314117,'',,4,,0,True,False
1479513000601512610,,7234,,1479513000,601410399,'',,4,,0,True,False
1479513000651585909,,7235,,1479513000,651501459,'',,4,,0,True,False
1479513000701682356,,7236,,1479513000,701591924,'',,4,,0,True,False
1479513000751723933,,7237,,1479513000,751629522,'',,4,,0,True,False
1479513000801829577,,7238,,1479513000,801727677,'',,4,,0,True,False
1479513000851917085,,7239,,1479513000,851811775,'',,4,,0,True,False
1479513000902022260,,7240,,1479513000,901904241,'',,4,,0,True,False
1479513000952146569,,7241,,1479513000,952073622,'',,4,,0,True,False
