rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pedal_input,pedal_cmd,pedal_output,torque_input,torque_cmd,torque_output,boo_input,boo_cmd,boo_output,enabled,override,driver,watchdog_counter,source,watchdog_braking,fault_wdc,fault_ch1,fault_ch2,fault_boo,fault_connector
1479513000002023605,,18057,,1479513000,1915000,'',0.14743266999721527,0.0,0.14743266999721527,0.0,0.0,0.0,False,False,False,False,False,False,,0,False,False,False,False,False,True
1479513000022006333,,18058,,1479513000,21911534,'',0.14718852937221527,0.0,0.14718852937221527,0.0,0.0,0.0,False,False,False,False,False,False,,0,False,False,False,False,False,True
1479513000042023326,,18059,,1479513000,41961025,'',0.14645609259605408,0.0,0.14645609259605408,0.0,0.0,0.0,False,False,False,False,False,False,,0,False,False,False,False,False,True
1479513000062139749,,18060,,1479513000,62067093,'',0.14744792878627777,0.0,0.14744792878627777,0.0,0.0,0.0,False,False,False,False,False,False,,0,False,False,False,False,False,True
1479513000082156479,,18061,,1479513000,82083173,'',0.14746318757534027,0.0,0.14746318757534027,0.0,0.0,0.0,False,False,False,False,False,False,,0,False,False,False,False,False,True
1479513000102138364,,18062,,1479513000,102070234,'',0.14705120027065277,0.0,0.14705120027065277,0.0,0.0,0.0,False,False,False,False,False,False,,0,False,False,False,False,False,True
1479513000122232245,,18063,,1479513000,122128103,'',0.14732585847377777,0.0,0.14732585847377777,0.0,0.0,0.0,False,False,False,False,False,False,,0,False,False,False,False,False,True
1479513000142195300,,18064,,1479513000,142104325,'',0.14738689363002777,0.0,0.14738689363002777,0.0,0.0,0.0,False,False,False,False,False,False,,0,False,False,False,False,False,True
1479513000162199389,,18065,,1479513000,162138739,'',0.14766155183315277,0.0,0.14766155183315277,0.0,0.0,0.0,False,False,False,False,False,False,,0,False,False,False,False,False,True
1479513000182261544,,18066,,1479513000,182190961,'',0.14749370515346527,0.0,0.14749370515346527,0.0,0.0,0.0,False,False,False,False,False,False,,0,False,False,False,False,False,True
1479513000202261517,,18067,,1479513000,202191091,'',0.14726482331752777,0.0,0.14726482331752777,0.0,0.0,0.0,False,False,False,False,False,False,,0,False,False,False,False,False,True
1479513000222320363,,18068,,1479513000,222237540,'',0.14743266999721527,0.0,0.14743266999721527,0.0,0.0,0.0,False,False,False,False,False,False,,0,False,False,False,False,False,True
1479513000242370445,,18069,,1479513000,242280256,'',0.14758525788784027,0.0,0.14758525788784027,0.0,0.0,0.0,False,False,False,False,False,False,,0,False,False,False,False,False,True
1479513000262420725,,18070,,1479513000,262336759,'',0.14697490632534027,0.0,0.14697490632534027,0.0,0.0,0.0,False,False,False,False,False,False,,0,False,False,False,False,False,True
1479513000282400262,,18071,,1479513000,282323452,'',0.14692911505699158,0.0,0.14692911505699158,0.0,0.0,0.0,False,False,False,False,False,False,,0,False,False,False,False,False,True
