rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,orientation,x,y,z,w,orientation_covariance,angular_velocity,x,y,z,angular_velocity_covariance,linear_acceleration,x,y,z,linear_acceleration_covariance
1479513000001215406,,91877,,1479513000,878095,"""/imu""",,0.00010803860167319697,0.02157051136178089,0.9693931475083717,-0.24456421619301885,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.11197755485773087,1.232783317565918,9.857982635498047,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
1479513000001789586,,91878,,1479513000,1508951,"""/imu""",,9.380128007379555e-05,0.021528745749317145,0.9694012329565934,-0.24453578348204247,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.05497501790523529,1.238828182220459,9.700584411621094,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
1479513000006268894,,91879,,1479513000,5964994,"""/imu""",,8.497593713718124e-05,0.021465987534745098,0.9694087034818926,-0.2445117488473691,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.021980615332722664,0.9742074608802795,9.498897552490234,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
1479513000006797408,,91880,,1479513000,6496906,"""/imu""",,7.115113124812799e-05,0.021398499292566483,0.9694108862171,-0.24450903094088736,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.17668883502483368,0.7602778077125549,9.465180397033691,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
1479513000011418171,,91881,,1479513000,10932922,"""/imu""",,7.116293080557307e-05,0.021347457395295116,0.9694137375997031,-0.24450222471525426,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.23984545469284058,0.5739321112632751,9.425215721130371,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
1479513000012137178,,91882,,1479513000,11801004,"""/imu""",,6.614047571020479e-05,0.021307545351742813,0.9694190022598298,-0.2444847417264862,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.2646295130252838,0.5711014270782471,9.272332191467285,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
1479513000016376263,,91883,,1479513000,15916109,"""/imu""",,4.8046502323653424e-05,0.02128137834332725,0.9694213386837773,-0.24447778881502177,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.2526627480983734,0.3825668692588806,9.125125885009766,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
1479513000019193149,,91884,,1479513000,16638994,"""/imu""",,4.469319496675788e-05,0.021257035195395343,0.9694210312598955,-0.24448110966655995,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.3543463945388794,0.24383217096328735,8.802299499511719,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
1479513000021270587,,91885,,1479513000,20929098,"""/imu""",,4.083204639381985e-05,0.021243529613750832,0.969423313879893,-0.24447310973689496,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.3283938765525818,0.19855806231498718,9.142674446105957,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
1479513000021731721,,91886,,1479513000,21455049,"""/imu""",,2.231455426141189e-05,0.021254505576274937,0.9694253736131903,-0.244463982474587,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.1709522008895874,0.07680069655179977,8.704309463500977,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
1479513000026310151,,91887,,1479513000,26021957,"""/imu""",,2.8864056565805042e-05,0.0212767763952576,0.9694266878437159,-0.24445696462864477,"[0.017453292519943295, 0.0, 0.0, 0.0, 0.017453292519943295, 0.0, 0.0, 0.0, 0.15707963267948966]",,0.0,0.0,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",,-0.33135274052619934,0.09197407960891724,8.892009735107422,"[0.0004, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0004]"
