rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,time_ref,secs,nsecs,source
1479513000001077362,,278383,,1479513000,878095,"""/imu""",,1479541797,998800000,"""UTC time"""
1479513000001230830,,278384,,1479513000,878095,"""/imu""",,8155,568000000,"""sample time fine"""
1479513000001254821,,278385,,1479513000,878095,"""/imu""",,815,0,"""sample time coarse"""
1479513000001601006,,278386,,1479513000,1508951,"""/imu""",,1479541798,1300000,"""UTC time"""
1479513000001775942,,278387,,1479513000,1508951,"""/imu""",,8155,593000000,"""sample time fine"""
1479513000001936908,,278388,,1479513000,1508951,"""/imu""",,815,0,"""sample time coarse"""
1479513000006069900,,278389,,1479513000,5964994,"""/imu""",,1479541798,3800000,"""UTC time"""
1479513000006125160,,278390,,1479513000,5964994,"""/imu""",,8155,618000000,"""sample time fine"""
1479513000006280331,,278391,,1479513000,5964994,"""/imu""",,815,0,"""sample time coarse"""
1479513000006584981,,278392,,1479513000,6496906,"""/imu""",,1479541798,6300000,"""UTC time"""
1479513000006630828,,278393,,1479513000,6496906,"""/imu""",,8155,643000000,"""sample time fine"""
1479513000006747593,,278394,,1479513000,6496906,"""/imu""",,815,0,"""sample time coarse"""
1479513000011121214,,278395,,1479513000,10932922,"""/imu""",,1479541798,8800000,"""UTC time"""
1479513000011495305,,278396,,1479513000,10932922,"""/imu""",,8155,668000000,"""sample time fine"""
1479513000011669571,,278397,,1479513000,10932922,"""/imu""",,815,0,"""sample time coarse"""
1479513000012000762,,278398,,1479513000,11801004,"""/imu""",,1479541798,11300000,"""UTC time"""
1479513000012092234,,278399,,1479513000,11801004,"""/imu""",,8155,693000000,"""sample time fine"""
1479513000012138913,,278400,,1479513000,11801004,"""/imu""",,815,0,"""sample time coarse"""
1479513000016067601,,278401,,1479513000,15916109,"""/imu""",,1479541798,13800000,"""UTC time"""
1479513000016355657,,278402,,1479513000,15916109,"""/imu""",,8155,718000000,"""sample time fine"""
1479513000016361529,,278403,,1479513000,15916109,"""/imu""",,815,0,"""sample time coarse"""
1479513000016749738,,278404,,1479513000,16638994,"""/imu""",,1479541798,16300000,"""UTC time"""
1479513000016814833,,278405,,1479513000,16638994,"""/imu""",,8155,743000000,"""sample time fine"""
1479513000016924652,,278406,,1479513000,16638994,"""/imu""",,815,0,"""sample time coarse"""
1479513000021076239,,278407,,1479513000,20929098,"""/imu""",,1479541798,18800000,"""UTC time"""
1479513000021080028,,278408,,1479513000,20929098,"""/imu""",,8155,768000000,"""sample time fine"""
1479513000021257611,,278409,,1479513000,20929098,"""/imu""",,815,0,"""sample time coarse"""
1479513000021708660,,278410,,1479513000,21455049,"""/imu""",,1479541798,21300000,"""UTC time"""
1479513000021890565,,278411,,1479513000,21455049,"""/imu""",,8155,793000000,"""sample time fine"""
1479513000021893270,,278412,,1479513000,21455049,"""/imu""",,815,0,"""sample time coarse"""
1479513000026137944,,278413,,1479513000,26021957,"""/imu""",,1479541798,23800000,"""UTC time"""
1479513000026230970,,278414,,1479513000,26021957,"""/imu""",,8155,818000000,"""sample time fine"""
1479513000026313243,,278415,,1479513000,26021957,"""/imu""",,815,0,"""sample time coarse"""
1479513000026739180,,278416,,1479513000,26547908,"""/imu""",,1479541798,26300000,"""UTC time"""
1479513000026813832,,278417,,1479513000,26547908,"""/imu""",,8155,843000000,"""sample time fine"""
1479513000026951704,,278418,,1479513000,26547908,"""/imu""",,815,0,"""sample time coarse"""
1479513000030986045,,278419,,1479513000,30889034,"""/imu""",,1479541798,28800000,"""UTC time"""
1479513000031044410,,278420,,1479513000,30889034,"""/imu""",,8155,868000000,"""sample time fine"""
1479513000031184327,,278421,,1479513000,30889034,"""/imu""",,815,0,"""sample time coarse"""
1479513000031576231,,278422,,1479513000,31483888,"""/imu""",,1479541798,31300000,"""UTC time"""
1479513000031741350,,278423,,1479513000,31483888,"""/imu""",,8155,893000000,"""sample time fine"""
1479513000031759439,,278424,,1479513000,31483888,"""/imu""",,815,0,"""sample time coarse"""
1479513000035979543,,278425,,1479513000,35860061,"""/imu""",,1479541798,33800000,"""UTC time"""
1479513000036156251,,278426,,1479513000,35860061,"""/imu""",,8155,918000000,"""sample time fine"""
1479513000036163300,,278427,,1479513000,35860061,"""/imu""",,815,0,"""sample time coarse"""
1479513000036569467,,278428,,1479513000,36465883,"""/imu""",,1479541798,36300000,"""UTC time"""
1479513000036636562,,278429,,1479513000,36465883,"""/imu""",,8155,943000000,"""sample time fine"""
1479513000036772721,,278430,,1479513000,36465883,"""/imu""",,815,0,"""sample time coarse"""
1479513000040999662,,278431,,1479513000,40895938,"""/imu""",,1479541798,38800000,"""UTC time"""
1479513000041190787,,278432,,1479513000,40895938,"""/imu""",,8155,968000000,"""sample time fine"""
1479513000041337649,,278433,,1479513000,40895938,"""/imu""",,815,0,"""sample time coarse"""
1479513000041527012,,278434,,1479513000,41429042,"""/imu""",,1479541798,41300000,"""UTC time"""
1479513000041571085,,278435,,1479513000,41429042,"""/imu""",,8155,993000000,"""sample time fine"""
1479513000041664329,,278436,,1479513000,41429042,"""/imu""",,815,0,"""sample time coarse"""
1479513000046154037,,278437,,1479513000,45995950,"""/imu""",,1479541798,43800000,"""UTC time"""
1479513000046406896,,278438,,1479513000,45995950,"""/imu""",,8156,18000000,"""sample time fine"""
1479513000046409740,,278439,,1479513000,45995950,"""/imu""",,815,0,"""sample time coarse"""
1479513000046895211,,278440,,1479513000,46751976,"""/imu""",,1479541798,46300000,"""UTC time"""
1479513000047072879,,278441,,1479513000,46751976,"""/imu""",,8156,43000000,"""sample time fine"""
