rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1479513000001296179,,91877,,1479513000,878095,"""/imu""",,0,0,37.39723587036133,-122.10223388671875,-8.009798049926758,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1479513000001928466,,91878,,1479513000,1508951,"""/imu""",,0,0,37.39723587036133,-122.10223388671875,-8.009519577026367,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1479513000006303936,,91879,,1479513000,5964994,"""/imu""",,0,0,37.39723587036133,-122.10223388671875,-8.009241104125977,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1479513000006794301,,91880,,1479513000,6496906,"""/imu""",,0,0,37.39723587036133,-122.10223388671875,-8.008965492248535,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1479513000011689144,,91881,,1479513000,10932922,"""/imu""",,0,0,37.39723587036133,-122.10223388671875,-8.008694648742676,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1479513000012347353,,91882,,1479513000,11801004,"""/imu""",,0,0,37.39723587036133,-122.10223388671875,-8.0084228515625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1479513000016348542,,91883,,1479513000,15916109,"""/imu""",,0,0,37.39723587036133,-122.10223388671875,-8.00815486907959,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1479513000019011877,,91884,,1479513000,16638994,"""/imu""",,0,0,37.39723587036133,-122.10223388671875,-8.007892608642578,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1479513000021267681,,91885,,1479513000,20929098,"""/imu""",,0,0,37.397239685058594,-122.10223388671875,-8.007248878479004,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1479513000021722998,,91886,,1479513000,21455049,"""/imu""",,0,0,37.397239685058594,-122.10223388671875,-8.006996154785156,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1479513000026325026,,91887,,1479513000,26021957,"""/imu""",,0,0,37.397239685058594,-122.10223388671875,-8.006750106811523,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1479513000026818876,,91888,,1479513000,26547908,"""/imu""",,0,0,37.397239685058594,-122.10223388671875,-8.006508827209473,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1479513000031220478,,91889,,1479513000,30889034,"""/imu""",,0,0,37.397239685058594,-122.10223388671875,-8.006269454956055,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1479513000031778476,,91890,,1479513000,31483888,"""/imu""",,0,0,37.397239685058594,-122.10223388671875,-8.00603199005127,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1479513000036216148,,91891,,1479513000,35860061,"""/imu""",,0,0,37.397239685058594,-122.10223388671875,-8.005793571472168,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1479513000036817528,,91892,,1479513000,36465883,"""/imu""",,0,0,37.397239685058594,-122.10223388671875,-8.005552291870117,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1479513000041376892,,91893,,1479513000,40895938,"""/imu""",,0,0,37.397239685058594,-122.10223388671875,-8.00492000579834,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
